satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,0,0,-1.2849771042856337,1,1,1.000466642527347,0,1,0,3,4,0,3,4,1,2,3,1,4,4,-0.38648106227660245,-0.3916437116430161
1,0,0,0.5669602716574482,1,1,-0.518355578703163,0,1,0,3,3,3,2,2,2,1,2,4,2,2,-0.38648106227660245,-0.33958234823808653
1,0,0,-1.9463833099795915,1,1,1.1951874401210019,0,1,0,3,4,0,4,4,4,3,3,1,4,4,-0.38648106227660245,-0.3916437116430161
1,1,0,1.1622258567820103,1,1,0.8359275685607083,0,1,0,3,4,0,4,4,2,4,2,4,3,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.9542740014386547,1,1,0.538004748242416,0,1,0,3,2,0,2,2,3,5,2,1,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.5574302780222801,1,1,0.1758240647182175,0,1,0,3,2,0,3,2,1,4,2,1,2,2,-0.04501362122803686,-0.3916437116430161
1,0,0,-1.152695863146842,1,1,0.3608088224321898,0,1,0,3,3,0,3,3,2,1,2,2,3,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.483398965993821,1,1,0.746356001667627,0,1,0,3,1,4,4,3,1,3,4,4,1,4,10.829411039857051,11.061856237441486
1,1,0,-0.4251490368834885,1,1,0.06191239812592925,0,1,0,3,1,0,4,1,4,5,4,3,3,1,0.007519831240973229,-0.3916437116430161
1,1,0,-0.4912896574528842,1,1,0.3520463865404754,0,1,0,3,1,0,1,1,2,2,1,1,3,1,-0.38648106227660245,-0.3916437116430161
1,0,0,1.3606477184901977,1,1,-1.041180920242127,0,1,0,3,4,3,4,2,2,0,2,4,2,1,-0.12381379993155199,-0.33958234823808653
1,0,0,-0.09444593403650955,1,2,0.15343117299494716,0,1,0,3,5,0,5,5,3,5,3,3,2,5,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.6897115191610715,1,1,-0.061735308346041746,0,1,0,3,5,0,5,5,1,3,3,3,4,5,0.03378655747547828,-0.2614903031306922
1,1,0,0.17011654824107356,1,1,0.3208910589254905,0,1,0,3,1,0,1,1,1,4,3,2,3,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.5574302780222801,1,0,-0.3723149805079216,0,1,0,3,2,0,2,2,4,2,3,3,3,2,-0.12381379993155199,-0.3916437116430161
1,1,0,-0.3590084163140927,1,1,-0.16104291511880583,0,1,0,3,4,0,4,4,1,1,2,3,2,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.0204146220080506,1,1,-0.1513068752391231,0,1,0,3,3,0,2,3,2,2,3,4,3,3,-0.38648106227660245,-0.3916437116430161
1,1,0,1.0960852362126146,1,0,-1.2329809058718773,0,1,0,3,2,4,4,4,4,0,4,4,4,3,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.747961448271404,1,1,0.31602303898564915,0,1,0,3,4,0,3,4,4,2,3,2,2,4,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.888133380869259,1,1,-0.13183479547975757,0,1,0,3,3,0,1,3,3,2,4,1,3,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.9542740014386547,1,1,-0.19317184672175894,0,1,0,3,2,0,2,2,1,4,4,4,3,2,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.6235708985916758,1,1,-0.1513068752391231,0,1,0,3,5,0,5,5,4,4,3,3,3,5,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.152695863146842,1,1,-0.4278104078221133,0,1,0,3,2,0,2,2,2,2,3,1,3,2,-0.38648106227660245,-0.3916437116430161
1,0,0,1.6913508213371766,1,1,-1.5172732703586136,0,1,0,3,4,4,3,2,2,0,1,3,2,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.0204146220080506,1,1,-0.49498908299192435,0,1,0,3,5,0,5,5,1,1,4,4,3,5,-0.09754707369704695,-0.36561302994055134
1,1,0,-0.16058655460590535,1,2,-0.09191703197305828,0,1,0,3,1,0,1,1,2,5,3,1,3,1,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.3590084163140927,1,1,-0.028632772755120377,0,1,0,3,2,0,2,2,3,4,4,4,4,2,-0.12381379993155199,-0.3916437116430161
1,0,0,-2.144805171687779,1,1,-0.3732885844958899,0,1,0,3,3,0,3,3,2,2,4,3,4,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.028305313467113777,1,1,-0.14741245928725,0,1,0,3,2,0,2,2,3,4,3,2,3,2,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.8802426894101956,1,1,-0.214591134457061,0,1,0,3,3,0,3,3,1,2,3,2,3,3,-0.38648106227660245,-0.3916437116430161
1,0,0,0.8315227539350314,1,1,-1.6058712332637268,0,1,0,3,5,4,3,3,3,0,3,4,3,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.0204146220080506,1,0,-0.6605017609465312,0,1,0,3,4,0,4,4,2,3,3,1,4,4,-0.2551474311040772,-0.3916437116430161
1,1,0,-1.9463833099795915,1,1,-0.34797488080871475,0,1,0,3,1,0,1,1,3,1,4,1,3,1,-0.38648106227660245,-0.3916437116430161
1,1,0,0.8315227539350314,1,1,-0.2311424022525217,0,1,0,3,2,0,2,2,1,5,2,2,3,2,-0.38648106227660245,-0.20942893972576265
1,1,0,1.3606477184901977,1,1,-1.0840194957127312,0,1,0,3,3,0,3,3,4,1,3,2,4,3,-0.38648106227660245,-0.3916437116430161
1,0,0,0.6331008922268441,1,2,0.5019814006875898,0,1,0,4,1,2,4,2,2,0,2,3,2,2,-0.15008052616605705,-0.3916437116430161
1,0,0,-2.078664551118383,1,1,0.8641620842117883,0,1,0,4,4,0,4,4,2,1,3,3,4,4,-0.3602143360420974,-0.3916437116430161
1,0,0,0.03783530710228201,1,1,1.4940838644272625,0,1,0,4,1,0,1,1,3,1,4,2,4,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.4251490368834885,1,1,0.8855813719470903,0,1,0,4,1,0,1,1,4,4,4,2,4,1,-0.38648106227660245,-0.3916437116430161
1,1,0,-2.078664551118383,1,1,0.46303724116885875,0,1,0,4,3,0,3,3,3,5,2,4,4,3,-0.38648106227660245,-0.3916437116430161
1,1,0,0.6331008922268441,1,1,-0.06855053626181967,0,1,0,4,2,0,1,2,1,1,3,1,4,2,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.09444593403650955,1,1,0.5029550046755581,0,1,0,4,5,0,2,5,4,2,3,2,4,5,-0.38648106227660245,-0.36561302994055134
1,1,0,0.6331008922268441,1,1,0.3257590788653319,0,1,0,4,2,0,2,2,3,5,4,3,4,2,-0.3602143360420974,-0.3916437116430161
1,1,0,-1.2188364837162378,1,1,0.11059259752434303,0,1,0,4,4,0,4,4,1,4,3,4,4,4,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.747961448271404,1,1,-0.22043275838487064,0,1,0,4,5,0,5,5,3,1,4,2,4,5,0.007519831240973229,-0.18339825802329787
1,1,0,2.0220539241841555,1,1,-0.3226611771215396,0,1,0,4,4,0,4,4,1,4,4,4,4,4,0.11258673617899341,0.7797369649678989
1,0,0,0.3685384099492609,1,1,-1.4539890111406757,0,1,0,4,1,4,3,5,5,0,5,2,5,1,-0.38648106227660245,-0.3916437116430161
1,0,0,1.823632062475968,1,1,-1.476381902863946,0,1,0,4,2,3,4,4,4,0,2,1,4,3,0.5328543559310742,1.4044733258270534
1,0,0,1.2945070979208018,1,1,-1.4676194669722316,0,1,0,4,4,3,3,3,3,0,3,1,3,1,-0.38648106227660245,-0.3916437116430161
1,1,0,0.5669602716574482,1,0,-1.5649798657690592,0,1,0,4,2,3,3,5,5,0,1,3,5,3,-0.018746894993531816,-0.053244849510974
1,0,0,0.3023977893798651,1,1,-1.5737423016607737,0,1,0,4,3,4,3,5,5,0,5,4,5,3,-0.38648106227660245,-0.3916437116430161
1,0,0,0.8315227539350314,1,1,-1.5873727574923295,0,1,0,4,4,3,4,5,5,0,5,3,5,4,-0.38648106227660245,-0.3916437116430161
1,0,0,-2.012523930548987,1,1,0.18848091656180507,0,1,0,4,5,0,4,5,4,2,3,2,4,5,-0.38648106227660245,-0.3135516665356218
1,1,0,1.9559133036147596,1,1,-0.5388012624504968,0,1,0,4,4,0,4,4,4,4,3,2,3,4,-0.38648106227660245,-0.3916437116430161
1,1,0,0.7653821333656357,1,1,-0.9691342251324745,0,1,0,4,5,0,5,5,1,5,3,1,3,5,-0.33394760980759236,-0.07927553121343878
1,1,0,-2.012523930548987,1,1,-0.34408046485684163,0,1,0,4,3,0,4,3,3,2,3,1,4,3,-0.38648106227660245,-0.3916437116430161
1,1,0,0.03783530710228201,1,1,2.1220584366668005,0,1,1,1,1,4,4,4,4,1,2,4,3,4,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.4251490368834885,1,1,1.4833742205596114,0,1,1,2,2,1,2,2,3,5,3,4,2,2,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.4172583454244252,1,1,-0.032527188706993476,0,1,1,3,2,1,2,2,3,2,2,1,2,2,0.007519831240973229,-0.13133689461836834
1,0,0,-1.0865552425774463,1,2,-0.42391599187024026,0,2,0,1,5,0,5,5,3,3,5,5,5,5,-0.38648106227660245,-0.33958234823808653
1,1,0,0.6331008922268441,1,2,0.060938794137960973,0,2,0,2,2,0,2,2,2,4,3,4,3,2,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.028305313467113777,1,2,0.5574768280017814,0,2,0,2,5,2,5,5,1,1,3,3,2,5,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.16058655460590535,1,1,0.3948849620110795,0,2,0,2,1,0,1,1,3,3,2,3,2,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.8141020688407998,1,1,0.16608802483853474,0,2,0,2,2,0,2,2,2,5,1,4,1,2,-0.38648106227660245,-0.3916437116430161
1,1,0,1.6252102007677807,1,1,0.1553783809708837,0,2,0,2,4,0,2,4,2,2,3,2,2,4,-0.22888070486957218,-0.36561302994055134
1,1,0,0.4346790305186567,1,2,-0.8892986981190759,0,2,0,2,4,0,4,4,2,5,3,2,2,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.09444593403650955,1,1,-0.06660332828588313,0,2,0,2,2,0,2,2,4,5,3,3,2,2,-0.38648106227660245,-0.23545962142822743
1,0,0,-0.09444593403650955,1,1,-1.055784980061651,0,2,0,2,2,0,3,2,1,1,1,2,3,2,-0.22888070486957218,-0.3916437116430161
1,0,0,-0.9542740014386547,1,1,1.2331579956517646,0,2,0,3,2,0,2,2,4,3,3,1,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.747961448271404,1,2,1.8114787645049204,0,2,0,3,3,0,2,3,1,2,1,1,2,3,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.2849771042856337,1,1,1.8338716562281907,0,2,0,3,0,5,5,2,5,3,3,5,2,5,-0.38648106227660245,-0.3916437116430161
1,0,0,1.6252102007677807,1,1,0.4474595773613664,0,2,0,3,0,3,3,1,2,4,4,3,2,3,-0.38648106227660245,-0.3916437116430161
1,1,0,0.10397592767167779,1,1,1.3149407306410998,0,2,0,3,4,0,4,4,3,5,3,1,3,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.9463833099795915,1,0,1.4123011294379275,0,2,0,3,4,0,4,4,1,4,3,1,4,4,-0.3602143360420974,-0.3916437116430161
1,0,0,-1.2188364837162378,1,2,1.7696137930222846,0,2,0,3,5,2,5,5,3,1,3,2,4,5,0.32272054605503375,-0.18339825802329787
1,1,0,0.963803995073823,1,1,1.4824006165716432,0,2,0,3,4,0,4,4,1,5,3,4,4,4,-0.38648106227660245,-0.3916437116430161
1,0,0,0.4346790305186567,1,2,-0.35186929676058787,0,2,0,3,3,3,3,4,4,0,4,4,4,1,-0.2551474311040772,-0.3916437116430161
1,0,0,-0.8219927602998631,1,1,1.015070702346871,0,2,0,3,1,0,1,1,1,1,2,3,3,1,-0.38648106227660245,-0.3916437116430161
1,1,0,1.823632062475968,1,1,0.5360575402664794,0,2,0,3,2,0,2,2,4,3,3,3,4,2,-0.38648106227660245,-0.3916437116430161
1,1,0,1.228366477351406,1,1,0.757065645535278,0,2,0,3,2,0,2,2,1,3,2,3,3,2,-0.12381379993155199,-0.3916437116430161
1,0,0,-2.012523930548987,1,1,0.7327255458360711,0,2,0,3,3,0,3,3,1,1,2,3,3,3,-0.38648106227660245,-0.3916437116430161
1,1,0,0.3685384099492609,1,0,-0.7247596241524373,0,2,0,3,4,3,3,1,1,0,1,4,1,1,0.13885346241349844,-0.0011834861060444476
1,1,0,1.1622258567820103,1,0,-0.7948591112861532,0,2,0,3,5,4,4,2,2,0,3,2,2,3,-0.38648106227660245,-0.3916437116430161
1,0,0,1.559069580198385,1,1,-0.8493809346123766,0,2,0,3,3,3,3,4,4,0,4,1,4,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.5495395865632167,1,1,0.17095604477837612,0,2,0,3,3,0,3,3,1,3,3,4,2,3,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.9463833099795915,1,1,-0.1152835276842969,0,2,0,3,4,0,4,4,1,3,4,2,3,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.483398965993821,1,1,0.41727785373434984,0,2,0,3,1,0,1,1,4,5,3,1,4,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.4251490368834885,1,2,0.36762405034796775,0,2,0,3,3,0,4,3,2,1,4,4,4,3,-0.38648106227660245,-0.3916437116430161
1,1,0,2.0220539241841555,1,1,-0.28761143355468166,0,2,0,3,1,0,1,1,3,1,2,3,2,1,-0.38648106227660245,-0.3916437116430161
1,0,0,0.3685384099492609,1,1,-1.2738722733665448,0,2,0,3,1,2,3,3,3,0,3,1,3,2,-0.3076808835730873,-0.36561302994055134
1,0,0,-0.4912896574528842,1,1,-0.31584594920576164,0,2,0,3,2,0,2,2,2,2,4,4,4,2,-0.38648106227660245,-0.3135516665356218
1,1,0,1.6913508213371766,1,0,-1.2952915611018467,0,2,0,3,3,4,4,3,3,0,3,1,3,2,-0.38648106227660245,-0.3916437116430161
1,0,0,1.6913508213371766,1,1,-1.3313149086566731,0,2,0,3,4,5,5,2,2,0,2,4,2,3,1.9775242988288515,1.690810824554166
1,0,0,-1.2849771042856337,1,1,-0.08510180405728035,0,2,0,3,1,2,1,1,2,3,4,1,4,1,-0.38648106227660245,-0.3135516665356218
1,1,0,-1.483398965993821,1,2,-0.06855053626181967,0,2,0,3,5,0,5,5,2,5,2,1,2,5,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.6235708985916758,1,1,-0.3255819890854444,0,2,0,3,3,0,3,3,3,1,4,3,4,3,-0.3076808835730873,-0.3916437116430161
1,1,0,-1.0204146220080506,1,1,-0.12209875560007483,0,2,0,3,5,0,3,5,2,5,4,2,3,5,-0.3602143360420974,-0.3916437116430161
1,0,0,-0.028305313467113777,1,1,-0.3304500090252858,0,2,0,3,5,0,5,5,3,3,4,3,3,5,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.4251490368834885,1,1,-0.0315535847190252,0,2,0,3,5,0,2,5,3,2,4,3,3,5,-0.38648106227660245,-0.3916437116430161
1,0,0,1.6252102007677807,1,1,-1.5211676863104868,0,2,0,3,3,4,3,1,1,0,1,3,1,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.16058655460590535,1,1,-0.39957589217103334,0,2,0,3,3,0,3,3,3,5,4,4,4,3,-0.38648106227660245,-0.3916437116430161
1,1,0,1.4267883390595935,1,1,-0.8396448947326939,0,2,0,3,3,0,3,3,2,1,4,3,4,3,-0.33394760980759236,-0.3916437116430161
1,1,0,1.3606477184901977,1,1,-0.7705190115869464,0,2,0,3,1,0,1,1,1,5,3,2,3,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.7558521397304674,1,1,-0.13378200345569413,0,2,0,3,4,0,4,4,2,5,4,3,3,4,-0.3602143360420974,-0.3916437116430161
1,1,0,-0.888133380869259,1,1,-0.995421532807618,0,2,0,3,3,0,3,3,3,4,3,2,4,3,-0.38648106227660245,-0.3916437116430161
1,0,0,0.10397592767167779,1,1,0.12422305335589888,0,2,0,3,5,0,5,5,2,5,4,1,4,5,-0.38648106227660245,-0.3916437116430161
1,0,0,1.1622258567820103,1,1,-1.620475293083251,0,2,0,3,5,2,3,1,1,0,1,4,1,4,-0.38648106227660245,-0.3916437116430161
1,1,0,0.5008196510880525,1,1,-0.004292673055913487,0,2,0,3,2,0,2,2,2,2,2,4,2,2,-0.38648106227660245,-0.3916437116430161
1,0,0,1.4267883390595935,1,1,-1.645788996770426,0,2,0,3,1,3,4,2,2,0,2,1,2,1,-0.38648106227660245,-0.33958234823808653
1,0,0,-0.6897115191610715,1,1,-0.15714849916693274,0,2,0,3,1,0,1,1,2,1,3,1,3,1,-0.38648106227660245,-0.3916437116430161
1,1,0,1.823632062475968,1,1,-0.253535293975792,0,2,0,3,5,0,5,5,4,1,3,3,4,5,-0.15008052616605705,-0.3916437116430161
1,0,0,-1.2188364837162378,1,1,2.7480858009304012,0,2,0,4,5,0,5,5,4,1,4,2,3,5,0.13885346241349844,-0.3916437116430161
1,1,0,-0.888133380869259,1,1,1.4454036650288489,0,2,0,4,2,0,2,2,3,1,3,2,4,2,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.6235708985916758,1,1,0.8213235087411842,0,2,0,4,1,0,1,1,4,1,2,2,3,1,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.2267271751753011,1,1,0.5642920559175594,0,2,0,4,2,0,2,2,2,2,2,4,4,2,-0.38648106227660245,-0.3916437116430161
1,1,0,0.6331008922268441,1,1,0.7599864574991828,0,2,0,4,2,0,4,2,4,1,4,3,4,2,-0.38648106227660245,-0.0011834861060444476
1,0,0,0.6331008922268441,1,1,-0.776360635514756,0,2,0,4,1,2,4,3,3,2,3,2,3,2,-0.0712803474625419,-0.3916437116430161
1,0,0,0.5669602716574482,1,1,-0.8912459060950125,0,2,0,4,5,4,4,2,2,0,2,3,2,1,-0.018746894993531816,-0.20942893972576265
1,0,0,-1.483398965993821,1,1,-0.2350368182043948,0,2,0,4,3,0,3,3,4,3,3,2,4,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.9463833099795915,1,1,-0.011107900971691415,0,2,0,4,3,0,3,3,1,3,4,4,3,3,-0.38648106227660245,-0.3916437116430161
1,0,0,1.0299446156432188,1,1,-0.9613453932287284,0,2,0,4,2,4,3,3,3,0,3,1,3,3,1.3996563216697406,1.690810824554166
1,1,0,0.5669602716574482,1,2,0.3987793779629526,0,2,0,4,1,0,1,1,3,1,3,3,4,1,-0.38648106227660245,-0.3916437116430161
1,1,0,1.228366477351406,1,1,0.04925554628234167,0,2,0,4,4,0,4,4,3,5,2,2,4,4,-0.38648106227660245,-0.3916437116430161
1,0,0,0.6992415127962398,1,1,-1.2222712620042262,0,2,0,4,3,3,4,5,5,0,5,2,5,2,-0.38648106227660245,-0.36561302994055134
1,1,0,-0.5574302780222801,1,1,0.21866264018882162,0,2,0,4,4,0,4,4,1,1,2,4,3,4,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.9542740014386547,1,1,0.2790260874428547,0,2,0,4,2,2,2,2,4,3,3,2,4,2,-0.38648106227660245,-0.3135516665356218
1,1,0,-0.6897115191610715,1,1,-0.23211600624048997,0,2,0,4,5,0,5,5,3,2,4,4,4,5,-0.38648106227660245,-0.3916437116430161
1,0,0,1.8897726830453638,1,0,-1.4393849513211516,0,2,0,4,5,3,3,4,4,0,4,1,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,0.5669602716574482,1,1,-1.4841707347676922,0,2,0,4,5,4,4,4,4,0,4,4,4,3,-0.38648106227660245,-0.3916437116430161
1,1,0,0.963803995073823,1,1,-0.7607829717072636,0,2,0,4,4,0,4,4,4,1,3,4,4,4,-0.38648106227660245,-0.3916437116430161
1,1,0,1.8897726830453638,1,1,-0.242825650108141,0,2,0,4,4,0,4,4,3,2,3,2,3,4,-0.38648106227660245,-0.3916437116430161
1,0,0,1.559069580198385,1,0,-1.6409209768305846,0,2,0,4,1,4,3,1,1,0,1,3,1,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.7558521397304674,1,1,0.1115662015123113,0,2,0,4,4,0,4,4,3,1,4,3,3,4,-0.3602143360420974,-0.3916437116430161
1,0,0,1.559069580198385,1,1,-1.7042052360485225,0,2,0,4,2,4,3,4,4,0,5,4,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.888133380869259,1,1,-0.33629163295309544,0,2,0,4,5,0,5,5,2,5,3,4,3,5,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.8802426894101956,1,2,-0.5719037980414181,0,2,0,4,3,0,3,3,2,1,3,2,4,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.5495395865632167,1,1,-0.5670357781015768,0,2,0,4,5,0,5,5,2,1,3,1,3,5,-0.38648106227660245,-0.3916437116430161
1,1,0,0.6331008922268441,1,1,-0.680947444693865,0,2,0,4,2,0,2,2,1,2,4,2,4,2,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.483398965993821,1,1,0.025889050571103054,0,2,0,4,2,0,2,2,4,4,3,1,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,1.4929289596289892,1,1,-1.119069239279589,0,2,1,2,1,2,3,2,2,1,2,4,2,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.4172583454244252,1,1,0.4474595773613664,0,2,1,4,1,1,1,1,2,2,2,2,3,1,-0.04501362122803686,-0.28752098483315697
1,1,0,-1.0204146220080506,1,1,1.2049234800006847,0,3,0,1,3,0,3,3,4,2,5,5,5,3,2.0563244775323666,1.8469949147689546
1,1,0,-1.8141020688407998,1,1,0.7911417851141677,0,3,0,1,3,0,3,3,3,2,4,2,2,3,-0.018746894993531816,-0.36561302994055134
1,0,0,-0.028305313467113777,1,1,0.28486771137066436,0,3,0,1,2,0,1,2,5,2,1,2,2,2,-0.38648106227660245,-0.3916437116430161
